,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 2, Census Tract 809, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080900> block group:2",1508,78,1508,142,73750,24,420,Suffolk County,69,98,411
"Block Group 3, Census Tract 809, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080900> block group:3",917,10,917,50,89219,53,232,Suffolk County,36,15,263
"Block Group 1, Census Tract 809, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:080900> block group:1",1265,33,1265,104,57734,0,713,Suffolk County,107,86,810
"Block Group 3, Census Tract 818, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081800> block group:3",982,638,982,536,15455,137,255,Suffolk County,263,178,31
"Block Group 3, Census Tract 814, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081400> block group:3",1330,489,1330,238,57917,148,399,Suffolk County,150,192,455
"Block Group 2, Census Tract 814, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081400> block group:2",601,208,601,74,48333,102,156,Suffolk County,115,70,136
"Block Group 1, Census Tract 814, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081400> block group:1",1010,517,1010,255,39545,202,326,Suffolk County,303,235,263
"Block Group 2, Census Tract 818, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081800> block group:2",1536,1074,1536,239,42773,186,415,Suffolk County,438,270,225
"Block Group 1, Census Tract 903, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090300> block group:1",867,701,867,330,31530,73,232,Suffolk County,246,164,0
"Block Group 3, Census Tract 903, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090300> block group:3",954,904,954,0,-666666666,67,240,Suffolk County,237,199,137
"Block Group 1, Census Tract 106, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:010600> block group:1",2050,177,2050,69,92391,176,1172,Suffolk County,82,134,1616
"Block Group 1, Census Tract 401, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040100> block group:1",1039,0,1039,150,151346,356,168,Suffolk County,124,115,619
"Block Group 2, Census Tract 401, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040100> block group:2",1424,0,1424,30,158417,290,476,Suffolk County,89,165,950
"Block Group 1, Census Tract 403, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040300> block group:1",778,282,778,151,13606,32,319,Suffolk County,274,17,164
"Block Group 3, Census Tract 403, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040300> block group:3",597,0,597,0,151667,220,78,Suffolk County,37,9,426
"Block Group 4, Census Tract 403, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040300> block group:4",658,0,658,23,107019,198,133,Suffolk County,44,16,527
"Block Group 1, Census Tract 504, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:050400> block group:1",496,7,496,230,62045,29,171,Suffolk County,116,69,191
"Block Group 3, Census Tract 510, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:051000> block group:3",1281,0,1281,330,83650,167,268,Suffolk County,541,227,176
"Block Group 1, Census Tract 510, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:051000> block group:1",2428,116,2428,1022,68107,369,510,Suffolk County,890,343,434
"Block Group 5, Census Tract 604, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060400> block group:5",922,24,922,18,104870,87,170,Suffolk County,264,173,430
"Block Group 1, Census Tract 817, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081700> block group:1",455,415,455,0,22467,24,179,Suffolk County,166,91,49
"Block Group 4, Census Tract 817, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081700> block group:4",911,512,911,252,24313,49,302,Suffolk County,306,118,122
"Block Group 5, Census Tract 817, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081700> block group:5",1217,682,1217,146,72697,183,206,Suffolk County,224,256,180
"Block Group 3, Census Tract 817, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081700> block group:3",829,584,829,253,38536,54,213,Suffolk County,185,83,101
"Block Group 3, Census Tract 919, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091900> block group:3",1537,1037,1537,533,48625,147,408,Suffolk County,626,298,88
"Block Group 4, Census Tract 919, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091900> block group:4",672,597,672,175,98021,119,84,Suffolk County,215,132,69
"Block Group 2, Census Tract 919, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091900> block group:2",964,890,964,85,58029,136,140,Suffolk County,425,165,64
"Block Group 1, Census Tract 919, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091900> block group:1",1021,671,1021,415,25862,141,201,Suffolk County,557,98,60
"Block Group 3, Census Tract 923, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092300> block group:3",1407,1269,1407,267,53403,166,237,Suffolk County,509,233,188
"Block Group 4, Census Tract 923, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092300> block group:4",571,430,571,174,47656,89,76,Suffolk County,196,72,42
"Block Group 2, Census Tract 923, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092300> block group:2",643,437,643,229,40083,59,158,Suffolk County,132,134,59
"Block Group 2, Census Tract 1205, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:120500> block group:2",990,89,990,399,104875,109,220,Suffolk County,162,61,511
"Block Group 1, Census Tract 1205, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:120500> block group:1",1034,209,1034,423,73352,99,284,Suffolk County,194,139,465
"Block Group 6, Census Tract 1010.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101001> block group:6",1727,1412,1727,339,-666666666,287,227,Suffolk County,737,429,202
"Block Group 5, Census Tract 1010.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101001> block group:5",1030,906,1030,172,-666666666,59,281,Suffolk County,372,109,133
"Block Group 3, Census Tract 1010.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101001> block group:3",777,740,777,0,-666666666,117,258,Suffolk County,469,171,21
"Block Group 1, Census Tract 604, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060400> block group:1",1358,0,1358,0,109336,288,285,Suffolk County,162,61,1021
"Block Group 2, Census Tract 604, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060400> block group:2",1298,0,1298,0,153125,486,67,Suffolk County,167,226,754
"Block Group 1, Census Tract 607, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060700> block group:1",1161,534,1161,385,26771,0,357,Suffolk County,335,156,59
"Block Group 2, Census Tract 607, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060700> block group:2",1454,440,1454,706,16010,0,560,Suffolk County,656,189,34
"Block Group 2, Census Tract 815, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081500> block group:2",1511,844,1511,607,30000,120,406,Suffolk County,560,231,183
"Block Group 1, Census Tract 815, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:081500> block group:1",1105,614,1105,189,40909,177,221,Suffolk County,294,87,282
"Block Group 2, Census Tract 906, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090600> block group:2",1426,1029,1426,180,43188,138,287,Suffolk County,594,180,172
"Block Group 1, Census Tract 906, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090600> block group:1",1173,722,1173,290,47846,142,205,Suffolk County,485,185,109
"Block Group 2, Census Tract 915, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091500> block group:2",1922,1298,1922,385,59107,281,385,Suffolk County,839,212,203
"Block Group 3, Census Tract 915, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091500> block group:3",1229,549,1229,165,37083,94,189,Suffolk County,501,127,72
"Block Group 1, Census Tract 915, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:091500> block group:1",1897,660,1897,600,60114,319,344,Suffolk County,674,246,307
"Block Group 3, Census Tract 1702, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170200> block group:3",959,86,959,636,47188,138,63,Suffolk County,265,100,129
"Block Group 1, Census Tract 1702, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170200> block group:1",991,0,991,151,31905,159,275,Suffolk County,380,258,94
"Block Group 1, Census Tract 1708, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170800> block group:1",2944,0,2944,1720,70953,361,454,Suffolk County,1475,296,255
"Block Group 2, Census Tract 1708, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170800> block group:2",1206,0,1206,476,35208,144,374,Suffolk County,385,364,144
"Block Group 3, Census Tract 1708, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170800> block group:3",1069,0,1069,73,-666666666,213,123,Suffolk County,502,120,54
"Block Group 1, Census Tract 1206, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:120600> block group:1",933,97,933,233,104934,127,200,Suffolk County,228,75,351
"Block Group 3, Census Tract 1206, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:120600> block group:3",817,47,817,78,106354,166,195,Suffolk County,83,41,560
"Block Group 3, Census Tract 1301, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130100> block group:3",841,126,841,20,128802,298,40,Suffolk County,84,0,583
"Block Group 1, Census Tract 1301, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130100> block group:1",944,0,944,159,108276,397,39,Suffolk County,119,223,467
"Block Group 4, Census Tract 1301, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130100> block group:4",827,0,827,89,116266,313,38,Suffolk County,82,142,399
"Block Group 7, Census Tract 1301, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130100> block group:7",888,0,888,0,104609,296,52,Suffolk County,206,44,394
"Block Group 2, Census Tract 1002, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100200> block group:2",617,432,617,245,36632,28,141,Suffolk County,197,47,40
"Block Group 3, Census Tract 1002, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100200> block group:3",1525,1417,1525,109,39688,148,282,Suffolk County,468,257,184
"Block Group 3, Census Tract 1010.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101002> block group:3",2641,2270,2641,258,55768,268,733,Suffolk County,921,688,313
"Block Group 1, Census Tract 1105.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:110502> block group:1",1969,281,1969,431,99624,297,377,Suffolk County,608,257,629
"Block Group 3, Census Tract 1105.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:110502> block group:3",527,24,527,113,41953,80,135,Suffolk County,190,32,150
"Block Group 4, Census Tract 1304.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130402> block group:4",881,0,881,185,113063,343,0,Suffolk County,192,122,316
"Block Group 1, Census Tract 1106.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:110601> block group:1",1861,66,1861,151,104000,605,135,Suffolk County,356,231,912
