,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 6, Census Tract 3412, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341200> block group:6",1050,284,1050,42,83750,224,90,Middlesex County,372,156,187
"Block Group 4, Census Tract 3414, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341400> block group:4",1604,207,1604,4,49771,117,428,Middlesex County,698,136,440
"Block Group 3, Census Tract 3417, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341700> block group:3",1192,111,1192,197,56250,251,165,Middlesex County,240,196,391
"Block Group 1, Census Tract 3419.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341901> block group:1",716,161,716,0,83929,123,129,Middlesex County,247,133,97
"Block Group 1, Census Tract 3681.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368102> block group:1",2395,393,2395,221,118750,811,71,Middlesex County,839,425,690
"Block Group 2, Census Tract 3681.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368102> block group:2",1451,42,1451,29,133750,397,96,Middlesex County,232,179,548
"Block Group 3, Census Tract 3689.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368902> block group:3",706,103,706,21,92826,131,169,Middlesex County,100,140,342
"Block Group 5, Census Tract 3683, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368300> block group:5",653,38,653,0,111429,127,141,Middlesex County,48,109,206
"Block Group 3, Census Tract 3689.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368901> block group:3",2479,472,2479,331,69485,753,507,Middlesex County,387,321,1002
"Block Group 1, Census Tract 3689.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368902> block group:1",3238,581,3238,264,71964,169,693,Middlesex County,432,264,876
"Block Group 3, Census Tract 3701.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370101> block group:3",1935,118,1935,126,121188,484,352,Middlesex County,416,204,860
"Block Group 1, Census Tract 3701.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370102> block group:1",1579,18,1579,209,110313,470,246,Middlesex County,444,165,790
"Block Group 2, Census Tract 3701.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370102> block group:2",1612,170,1612,77,70625,157,661,Middlesex County,309,279,792
"Block Group 2, Census Tract 3702.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370201> block group:2",1368,0,1368,41,101630,350,296,Middlesex County,136,208,799
"Block Group 3, Census Tract 3702.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370201> block group:3",1367,29,1367,69,123125,491,148,Middlesex County,94,87,836
"Block Group 2, Census Tract 3702.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370202> block group:2",823,32,823,56,76625,195,184,Middlesex County,135,95,409
"Block Group 3, Census Tract 3702.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:370202> block group:3",994,3,994,0,107375,253,142,Middlesex County,146,120,458
"Block Group 2, Census Tract 3737, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:373700> block group:2",1096,129,1096,77,208750,353,62,Middlesex County,23,29,733
"Block Group 4, Census Tract 3739, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:373900> block group:4",921,181,921,0,175469,264,82,Middlesex County,76,62,440
"Block Group 2, Census Tract 3745, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:374500> block group:2",1498,0,1498,59,88750,343,257,Middlesex County,128,237,620
"Block Group 2, Census Tract 3821, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382100> block group:2",916,60,916,0,112083,349,0,Middlesex County,195,139,362
"Block Group 4, Census Tract 3823, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382300> block group:4",1779,32,1779,142,155417,512,30,Middlesex County,60,132,968
"Block Group 1, Census Tract 3826.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382601> block group:1",2013,0,2013,39,69000,332,790,Middlesex County,106,206,1211
"Block Group 3, Census Tract 3826.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382601> block group:3",1571,52,1571,103,93750,444,128,Middlesex County,156,181,784
"Block Group 1, Census Tract 3826.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382602> block group:1",558,18,558,0,108194,144,59,Middlesex County,117,63,236
"Block Group 3, Census Tract 3826.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382602> block group:3",1350,13,1350,11,136071,459,39,Middlesex County,128,197,625
"Block Group 4, Census Tract 3826.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382602> block group:4",1417,8,1417,7,75469,371,284,Middlesex County,233,159,612
"Block Group 1, Census Tract 3831.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383101> block group:1",1821,115,1821,646,41902,160,503,Middlesex County,810,374,245
"Block Group 2, Census Tract 3419.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341901> block group:2",672,28,672,52,64492,147,74,Middlesex County,227,129,109
"Block Group 1, Census Tract 3419.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341902> block group:1",1616,149,1616,57,100445,282,285,Middlesex County,409,300,344
"Block Group 2, Census Tract 3419.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341902> block group:2",878,194,878,70,113571,262,32,Middlesex County,314,85,279
"Block Group 3, Census Tract 3419.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341902> block group:3",1581,116,1581,32,43524,184,409,Middlesex County,496,442,108
"Block Group 4, Census Tract 3419.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341902> block group:4",826,229,826,16,74236,169,94,Middlesex County,256,145,175
"Block Group 5, Census Tract 3419.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341902> block group:5",1896,324,1896,104,72835,253,538,Middlesex County,348,279,847
"Block Group 6, Census Tract 3419.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341902> block group:6",2286,428,2286,312,69295,51,955,Middlesex County,425,205,1015
"Block Group 1, Census Tract 3421.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:342101> block group:1",1844,250,1844,783,48571,164,448,Middlesex County,736,193,146
"Block Group 2, Census Tract 3421.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:342101> block group:2",848,137,848,136,-666666666,151,133,Middlesex County,218,137,87
"Block Group 3, Census Tract 3421.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:342101> block group:3",801,66,801,188,27383,165,104,Middlesex County,455,126,129
"Block Group 2, Census Tract 3426, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:342600> block group:2",1041,175,1041,326,48235,151,173,Middlesex County,405,170,114
"Block Group 3, Census Tract 3426, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:342600> block group:3",2793,939,2793,388,66298,246,690,Middlesex County,1118,360,402
"Block Group 2, Census Tract 3528, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:352800> block group:2",1965,190,1965,355,107333,224,536,Middlesex County,252,188,1020
"Block Group 2, Census Tract 3529, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:352900> block group:2",2019,0,2019,46,136964,478,389,Middlesex County,108,70,1447
"Block Group 4, Census Tract 3216, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:321600> block group:4",1659,256,1659,75,85741,257,397,Middlesex County,136,390,528
"Block Group 3, Census Tract 3216, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:321600> block group:3",1073,31,1073,46,94712,398,41,Middlesex County,236,152,449
"Block Group 2, Census Tract 3216, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:321600> block group:2",1501,0,1501,18,79674,440,162,Middlesex County,299,360,492
"Block Group 7, Census Tract 3567.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356702> block group:7",844,123,844,76,-666666666,80,404,Middlesex County,100,265,336
"Block Group 3, Census Tract 3578, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357800> block group:3",1106,13,1106,91,213906,327,14,Middlesex County,10,83,583
"Block Group 6, Census Tract 3586, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:358600> block group:6",999,0,999,0,216833,368,0,Middlesex County,41,62,603
"Block Group 4, Census Tract 3591, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:359100> block group:4",2135,174,2135,46,131417,461,422,Middlesex County,155,171,1215
"Block Group 1, Census Tract 3601, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:360100> block group:1",1975,67,1975,278,97604,0,549,Middlesex County,106,315,563
"Block Group 5, Census Tract 3611, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:361100> block group:5",886,0,886,30,165833,261,31,Middlesex County,101,58,456
"Block Group 5, Census Tract 3613, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:361300> block group:5",773,0,773,0,138958,230,40,Middlesex County,0,53,517
"Block Group 3, Census Tract 3631.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363102> block group:3",3122,61,3122,261,104632,622,665,Middlesex County,276,379,1660
"Block Group 2, Census Tract 3631.03, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363103> block group:2",1117,0,1117,35,147895,400,18,Middlesex County,58,72,648
"Block Group 1, Census Tract 3631.04, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363104> block group:1",2480,28,2480,17,158750,759,93,Middlesex County,107,145,1430
"Block Group 3, Census Tract 3631.04, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363104> block group:3",2083,112,2083,76,133068,681,169,Middlesex County,60,308,1166
"Block Group 4, Census Tract 3631.04, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363104> block group:4",482,3,482,0,145625,177,23,Middlesex County,49,23,274
"Block Group 2, Census Tract 3632.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363201> block group:2",1111,0,1111,47,170583,373,20,Middlesex County,57,68,600
"Block Group 3, Census Tract 3632.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:363202> block group:3",1585,1,1585,120,141292,477,78,Middlesex County,121,192,754
"Block Group 2, Census Tract 3652.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:365201> block group:2",1283,0,1283,16,182386,434,0,Middlesex County,28,81,771
"Block Group 1, Census Tract 3831.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383102> block group:1",2553,586,2553,657,42727,152,704,Middlesex County,956,226,212
"Block Group 2, Census Tract 3831.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383102> block group:2",3319,861,3319,2096,38152,29,1083,Middlesex County,1191,454,236
"Block Group 3, Census Tract 3835.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383501> block group:3",1129,50,1129,301,99615,117,309,Middlesex County,197,182,389
"Block Group 1, Census Tract 3835.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383502> block group:1",2145,106,2145,156,70938,349,146,Middlesex County,214,112,551
"Block Group 2, Census Tract 3837, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383700> block group:2",736,0,736,0,142188,216,63,Middlesex County,147,32,345
"Block Group 6, Census Tract 3839.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383901> block group:6",1759,0,1759,59,76250,581,277,Middlesex County,233,188,948
"Block Group 2, Census Tract 3839.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383902> block group:2",1442,45,1442,43,154837,462,49,Middlesex County,179,104,791
"Block Group 3, Census Tract 3839.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383902> block group:3",1470,13,1470,64,145259,567,17,Middlesex County,187,200,745
"Block Group 1, Census Tract 3840.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:384002> block group:1",2301,168,2301,69,47392,45,1172,Middlesex County,240,359,1002
"Block Group 2, Census Tract 3840.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:384002> block group:2",764,6,764,0,105938,306,0,Middlesex County,66,152,360
"Block Group 3, Census Tract 3851, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:385100> block group:3",1154,98,1154,41,46733,307,206,Middlesex County,264,245,388
"Block Group 1, Census Tract 3852.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:385201> block group:1",1769,2,1769,7,78333,526,208,Middlesex County,422,246,578
"Block Group 1, Census Tract 3852.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:385202> block group:1",2542,141,2542,168,103684,1068,112,Middlesex County,333,236,1456
"Block Group 2, Census Tract 3852.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:385202> block group:2",2846,0,2846,252,167230,898,32,Middlesex County,291,297,1265
"Block Group 4, Census Tract 3852.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:385202> block group:4",1450,29,1450,132,67372,559,96,Middlesex County,208,214,683
"Block Group 2, Census Tract 3871, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:387100> block group:2",759,15,759,0,88750,246,96,Middlesex County,140,139,302
"Block Group 3, Census Tract 3872.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:387201> block group:3",853,0,853,89,132569,279,58,Middlesex County,76,188,345
"Block Group 2, Census Tract 3872.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:387202> block group:2",787,0,787,8,138750,271,0,Middlesex County,60,91,440
"Block Group 3, Census Tract 3872.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:387202> block group:3",2121,18,2121,121,145938,704,57,Middlesex County,185,265,971
"Block Group 1, Census Tract 3652.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:365202> block group:1",2182,0,2182,83,110357,618,214,Middlesex County,208,171,1155
"Block Group 1, Census Tract 3662.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366202> block group:1",2058,9,2058,162,168269,698,118,Middlesex County,100,142,1198
"Block Group 4, Census Tract 3661, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366100> block group:4",970,0,970,43,137250,317,89,Middlesex County,101,88,498
"Block Group 1, Census Tract 3662.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366201> block group:1",2654,0,2654,135,232743,845,70,Middlesex County,26,174,1608
"Block Group 2, Census Tract 3662.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366201> block group:2",971,0,971,0,193929,299,11,Middlesex County,10,41,555
"Block Group 2, Census Tract 3662.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366202> block group:2",1965,0,1965,57,168625,722,11,Middlesex County,36,142,1194
"Block Group 3, Census Tract 3662.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366202> block group:3",1181,72,1181,52,215972,375,25,Middlesex County,144,39,640
"Block Group 3, Census Tract 3672, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:367200> block group:3",1976,106,1976,82,246635,469,34,Middlesex County,10,33,980
"Block Group 3, Census Tract 3882, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388200> block group:3",3662,485,3662,679,65250,494,427,Middlesex County,2090,564,471
"Block Group 2, Census Tract 3882, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388200> block group:2",3030,40,3030,138,85167,750,310,Middlesex County,732,520,763
"Block Group 1, Census Tract 3883, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388300> block group:1",1705,63,1705,1170,12078,0,809,Middlesex County,803,186,6
"Block Group 2, Census Tract 3883, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388300> block group:2",1460,95,1460,444,30759,59,628,Middlesex County,480,133,233
"Block Group 3, Census Tract 3883, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388300> block group:3",2239,170,2239,283,13841,0,114,Middlesex County,155,66,53
"Block Group 4, Census Tract 3883, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:388300> block group:4",800,74,800,288,38906,26,179,Middlesex County,374,83,47
"Block Group 1, Census Tract 9800, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:980000> block group:1",0,0,0,0,-666666666,0,0,Middlesex County,0,0,0
"Block Group 1, Census Tract 3331, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333100> block group:1",2962,414,2962,32,73194,511,689,Middlesex County,758,550,1003
"Block Group 4, Census Tract 3331, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333100> block group:4",975,0,975,0,90833,332,14,Middlesex County,305,103,349
"Block Group 3, Census Tract 3331, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:333100> block group:3",986,25,986,31,79651,297,91,Middlesex County,254,236,230
"Block Group 1, Census Tract 3342, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334200> block group:1",894,0,894,13,119145,307,0,Middlesex County,84,142,415
"Block Group 3, Census Tract 3342, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:334200> block group:3",905,0,905,0,55662,204,311,Middlesex County,187,207,333
"Block Group 2, Census Tract 3641.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:364102> block group:2",1329,18,1329,61,73828,435,168,Middlesex County,206,216,611
"Block Group 3, Census Tract 3652.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:365201> block group:3",1172,0,1172,33,221000,347,19,Middlesex County,73,68,620
"Block Group 4, Census Tract 3652.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:365201> block group:4",1431,0,1431,50,192946,493,16,Middlesex County,97,63,878
"Block Group 2, Census Tract 3661, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366100> block group:2",1306,0,1306,65,148750,364,34,Middlesex County,54,86,676
"Block Group 1, Census Tract 3661, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:366100> block group:1",840,0,840,33,153472,247,50,Middlesex County,67,49,452
"Block Group 3, Census Tract 3685, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368500> block group:3",1173,69,1173,345,62941,91,625,Middlesex County,210,149,510
"Block Group 2, Census Tract 3685, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368500> block group:2",754,89,754,171,76339,102,245,Middlesex County,215,96,293
"Block Group 5, Census Tract 3688, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368800> block group:5",957,233,957,254,49007,82,377,Middlesex County,216,91,382
"Block Group 3, Census Tract 3688, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368800> block group:3",1146,65,1146,167,90385,386,122,Middlesex County,268,169,460
"Block Group 2, Census Tract 3688, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368800> block group:2",968,0,968,91,76410,136,248,Middlesex County,211,159,291
"Block Group 4, Census Tract 3688, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:368800> block group:4",1225,99,1225,488,93818,248,167,Middlesex County,479,196,340
"Block Group 2, Census Tract 3125.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:312501> block group:2",775,9,775,7,106518,210,28,Middlesex County,146,118,277
"Block Group 3, Census Tract 3125.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:312501> block group:3",1909,97,1909,598,68636,343,381,Middlesex County,571,278,393
"Block Group 1, Census Tract 3151, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:315100> block group:1",3030,0,3030,95,113040,880,61,Middlesex County,878,472,788
"Block Group 2, Census Tract 3155, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:315500> block group:2",1603,0,1603,0,123681,533,0,Middlesex County,438,444,265
"Block Group 4, Census Tract 3822, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382200> block group:4",1793,0,1793,270,151154,544,8,Middlesex County,84,190,773
"Block Group 3, Census Tract 3822, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382200> block group:3",767,0,767,0,74375,216,178,Middlesex County,232,66,314
"Block Group 2, Census Tract 3825, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382500> block group:2",914,15,914,31,77292,287,213,Middlesex County,102,81,520
"Block Group 3, Census Tract 3825, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:382500> block group:3",1778,41,1778,69,99336,385,314,Middlesex County,329,188,746
"Block Group 1, Census Tract 3835.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:383501> block group:1",2079,105,2079,503,81299,296,587,Middlesex County,645,262,543
"Block Group 4, Census Tract 3385, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:338500> block group:4",1371,0,1371,22,82500,351,173,Middlesex County,95,114,683
"Block Group 3, Census Tract 3385, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:338500> block group:3",1505,0,1505,31,250001,479,16,Middlesex County,55,31,927
"Block Group 1, Census Tract 3385, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:338500> block group:1",1413,17,1413,0,205000,484,0,Middlesex County,19,56,829
"Block Group 3, Census Tract 3416, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341600> block group:3",1491,544,1491,141,62169,393,208,Middlesex County,444,137,409
"Block Group 5, Census Tract 3416, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341600> block group:5",846,114,846,96,-666666666,55,304,Middlesex County,216,106,254
"Block Group 6, Census Tract 3416, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341600> block group:6",1786,144,1786,276,68661,270,397,Middlesex County,510,276,533
"Block Group 4, Census Tract 3416, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341600> block group:4",698,81,698,0,118333,134,80,Middlesex County,87,168,264
"Block Group 2, Census Tract 3417, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341700> block group:2",915,250,915,64,85197,243,126,Middlesex County,296,146,230
"Block Group 5, Census Tract 3417, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:341700> block group:5",1212,595,1212,28,68365,230,203,Middlesex County,264,107,358
"Block Group 2, Census Tract 3372.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:337201> block group:2",658,0,658,0,122708,274,0,Middlesex County,160,153,239
"Block Group 3, Census Tract 3372.01, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:337201> block group:3",884,0,884,86,84556,152,210,Middlesex County,320,191,223
"Block Group 2, Census Tract 3561, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356100> block group:2",1515,0,1515,187,120865,355,256,Middlesex County,187,82,850
"Block Group 1, Census Tract 3572, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357200> block group:1",1054,18,1054,68,151379,195,153,Middlesex County,122,99,486
"Block Group 3, Census Tract 3572, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357200> block group:3",731,0,731,47,180357,220,18,Middlesex County,26,40,429
"Block Group 2, Census Tract 3572, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357200> block group:2",731,0,731,0,233929,254,0,Middlesex County,57,8,441
"Block Group 2, Census Tract 3564, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356400> block group:2",1190,0,1190,27,96250,146,435,Middlesex County,215,205,539
"Block Group 8, Census Tract 3564, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356400> block group:8",1629,77,1629,19,147610,418,173,Middlesex County,156,111,856
"Block Group 3, Census Tract 3564, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356400> block group:3",830,0,830,114,169297,264,27,Middlesex County,62,93,388
"Block Group 1, Census Tract 3732, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:373200> block group:1",1133,47,1133,0,73221,193,348,Middlesex County,328,132,512
"Block Group 3, Census Tract 3732, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:373200> block group:3",838,14,838,0,113359,234,89,Middlesex County,167,78,341
"Block Group 2, Census Tract 3732, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:373200> block group:2",1047,7,1047,30,80833,137,249,Middlesex County,299,50,348
"Block Group 3, Census Tract 3361, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336100> block group:3",1319,0,1319,47,173602,311,66,Middlesex County,152,21,640
"Block Group 6, Census Tract 3361, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336100> block group:6",857,22,857,17,74615,211,231,Middlesex County,161,131,408
"Block Group 1, Census Tract 3361, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:336100> block group:1",1064,22,1064,28,121992,314,110,Middlesex County,18,157,575
"Block Group 1, Census Tract 3526, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:352600> block group:1",1404,50,1404,137,64453,185,438,Middlesex County,321,37,665
"Block Group 2, Census Tract 3526, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:352600> block group:2",1198,107,1198,241,80221,171,334,Middlesex County,221,116,378
"Block Group 7, Census Tract 3564, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356400> block group:7",721,14,721,17,108854,279,0,Middlesex County,70,102,348
"Block Group 1, Census Tract 3564, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356400> block group:1",654,0,654,16,180474,213,16,Middlesex County,51,50,341
"Block Group 6, Census Tract 3564, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:356400> block group:6",1400,0,1400,47,161667,417,47,Middlesex County,200,110,630
"Block Group 2, Census Tract 3578, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357800> block group:2",914,0,914,15,151000,257,77,Middlesex County,52,77,486
"Block Group 1, Census Tract 3578, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357800> block group:1",856,0,856,16,232604,281,0,Middlesex County,133,84,401
"Block Group 4, Census Tract 3578, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:357800> block group:4",1061,22,1061,61,69722,144,186,Middlesex County,128,160,334
"Block Group 3, Census Tract 3231, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:323100> block group:3",1571,1,1571,85,-666666666,386,199,Middlesex County,212,296,439
"Block Group 4, Census Tract 3231, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:323100> block group:4",2651,0,2651,98,171875,873,48,Middlesex County,313,203,1245
"Block Group 1, Census Tract 3011.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:301102> block group:1",1617,9,1617,0,104260,419,128,Middlesex County,381,265,375
"Block Group 3, Census Tract 3011.02, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:301102> block group:3",1468,0,1468,78,78621,471,53,Middlesex County,443,261,324
"Block Group 2, Census Tract 3112, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:311200> block group:2",1339,56,1339,60,41713,155,328,Middlesex County,460,256,216
"Block Group 1, Census Tract 3118, Middlesex County, Massachusetts: Summary level: 150, state:25> county:017> tract:311800> block group:1",2054,31,2054,316,46919,249,262,Middlesex County,891,226,172
