,Year,Postal,state,county,registry,race,hispanic,sex,age,population
114,1969,MA,25,3,63,1,9,1,1,4833
115,1969,MA,25,3,63,1,9,1,2,7446
116,1969,MA,25,3,63,1,9,1,3,7482
117,1969,MA,25,3,63,1,9,1,4,6794
118,1969,MA,25,3,63,1,9,1,5,4635
119,1969,MA,25,3,63,1,9,1,6,3974
120,1969,MA,25,3,63,1,9,1,7,3460
121,1969,MA,25,3,63,1,9,1,8,3713
122,1969,MA,25,3,63,1,9,1,9,4148
123,1969,MA,25,3,63,1,9,1,10,4522
124,1969,MA,25,3,63,1,9,1,11,4264
125,1969,MA,25,3,63,1,9,1,12,3877
126,1969,MA,25,3,63,1,9,1,13,3171
127,1969,MA,25,3,63,1,9,1,14,2458
128,1969,MA,25,3,63,1,9,1,15,1971
129,1969,MA,25,3,63,1,9,1,16,1406
130,1969,MA,25,3,63,1,9,1,17,764
131,1969,MA,25,3,63,1,9,1,18,425
132,1969,MA,25,3,63,1,9,2,0,1141
133,1969,MA,25,3,63,1,9,2,1,4510
134,1969,MA,25,3,63,1,9,2,2,7345
135,1969,MA,25,3,63,1,9,2,3,7335
136,1969,MA,25,3,63,1,9,2,4,6172
137,1969,MA,25,3,63,1,9,2,5,4957
138,1969,MA,25,3,63,1,9,2,6,4179
139,1969,MA,25,3,63,1,9,2,7,3542
140,1969,MA,25,3,63,1,9,2,8,3883
141,1969,MA,25,3,63,1,9,2,9,4524
142,1969,MA,25,3,63,1,9,2,10,5019
143,1969,MA,25,3,63,1,9,2,11,4682
144,1969,MA,25,3,63,1,9,2,12,4248
145,1969,MA,25,3,63,1,9,2,13,3696
146,1969,MA,25,3,63,1,9,2,14,3179
147,1969,MA,25,3,63,1,9,2,15,2763
148,1969,MA,25,3,63,1,9,2,16,2332
149,1969,MA,25,3,63,1,9,2,17,1420
150,1969,MA,25,3,63,1,9,2,18,926
151,1969,MA,25,3,63,2,9,1,0,16
152,1969,MA,25,3,63,2,9,1,1,94
153,1969,MA,25,3,63,2,9,1,2,96
154,1969,MA,25,3,63,2,9,1,3,114
155,1969,MA,25,3,63,2,9,1,4,109
156,1969,MA,25,3,63,2,9,1,5,73
157,1969,MA,25,3,63,2,9,1,6,44
158,1969,MA,25,3,63,2,9,1,7,38
159,1969,MA,25,3,63,2,9,1,8,46
160,1969,MA,25,3,63,2,9,1,9,53
161,1969,MA,25,3,63,2,9,1,10,53
162,1969,MA,25,3,63,2,9,1,11,36
163,1969,MA,25,3,63,2,9,1,12,46
164,1969,MA,25,3,63,2,9,1,13,28
165,1969,MA,25,3,63,2,9,1,14,25
166,1969,MA,25,3,63,2,9,1,15,10
167,1969,MA,25,3,63,2,9,1,16,13
168,1969,MA,25,3,63,2,9,1,17,8
169,1969,MA,25,3,63,2,9,1,18,7
170,1969,MA,25,3,63,2,9,2,0,15
171,1969,MA,25,3,63,2,9,2,1,79
172,1969,MA,25,3,63,2,9,2,2,110
173,1969,MA,25,3,63,2,9,2,3,111
174,1969,MA,25,3,63,2,9,2,4,63
175,1969,MA,25,3,63,2,9,2,5,59
176,1969,MA,25,3,63,2,9,2,6,46
177,1969,MA,25,3,63,2,9,2,7,46
178,1969,MA,25,3,63,2,9,2,8,63
179,1969,MA,25,3,63,2,9,2,9,52
180,1969,MA,25,3,63,2,9,2,10,48
181,1969,MA,25,3,63,2,9,2,11,40
182,1969,MA,25,3,63,2,9,2,12,40
183,1969,MA,25,3,63,2,9,2,13,34
184,1969,MA,25,3,63,2,9,2,14,35
185,1969,MA,25,3,63,2,9,2,15,26
186,1969,MA,25,3,63,2,9,2,16,9
187,1969,MA,25,3,63,2,9,2,17,12
188,1969,MA,25,3,63,2,9,2,18,12
189,1969,MA,25,3,63,3,9,1,0,1
190,1969,MA,25,3,63,3,9,1,1,15
191,1969,MA,25,3,63,3,9,1,2,9
192,1969,MA,25,3,63,3,9,1,3,2
193,1969,MA,25,3,63,3,9,1,4,13
194,1969,MA,25,3,63,3,9,1,5,10
195,1969,MA,25,3,63,3,9,1,6,8
196,1969,MA,25,3,63,3,9,1,7,11
197,1969,MA,25,3,63,3,9,1,8,8
198,1969,MA,25,3,63,3,9,1,9,6
199,1969,MA,25,3,63,3,9,1,10,5
200,1969,MA,25,3,63,3,9,1,11,5
201,1969,MA,25,3,63,3,9,1,12,1
202,1969,MA,25,3,63,3,9,1,13,3
203,1969,MA,25,3,63,3,9,1,14,10
204,1969,MA,25,3,63,3,9,1,15,2
205,1969,MA,25,3,63,3,9,1,16,2
206,1969,MA,25,3,63,3,9,1,17,4
207,1969,MA,25,3,63,3,9,1,18,2
208,1969,MA,25,3,63,3,9,2,0,5
209,1969,MA,25,3,63,3,9,2,1,9
210,1969,MA,25,3,63,3,9,2,2,13
211,1969,MA,25,3,63,3,9,2,3,16
212,1969,MA,25,3,63,3,9,2,4,10
213,1969,MA,25,3,63,3,9,2,5,20
214,1969,MA,25,3,63,3,9,2,6,22
215,1969,MA,25,3,63,3,9,2,7,11
216,1969,MA,25,3,63,3,9,2,8,13
217,1969,MA,25,3,63,3,9,2,9,5
218,1969,MA,25,3,63,3,9,2,10,9
219,1969,MA,25,3,63,3,9,2,11,8
220,1969,MA,25,3,63,3,9,2,12,4
221,1969,MA,25,3,63,3,9,2,13,6
222,1969,MA,25,3,63,3,9,2,14,5
223,1969,MA,25,3,63,3,9,2,15,3
224,1969,MA,25,3,63,3,9,2,16,3
225,1969,MA,25,3,63,3,9,2,17,1
226,1969,MA,25,3,63,3,9,2,18,2
227,1969,MA,25,5,63,1,9,1,0,3577
228,1969,MA,25,5,63,1,9,1,1,15118
229,1969,MA,25,5,63,1,9,1,2,21519
230,1969,MA,25,5,63,1,9,1,3,21474
231,1969,MA,25,5,63,1,9,1,4,17821
232,1969,MA,25,5,63,1,9,1,5,13203
233,1969,MA,25,5,63,1,9,1,6,13148
234,1969,MA,25,5,63,1,9,1,7,10145
235,1969,MA,25,5,63,1,9,1,8,10427
236,1969,MA,25,5,63,1,9,1,9,13046
237,1969,MA,25,5,63,1,9,1,10,13834
238,1969,MA,25,5,63,1,9,1,11,12880
239,1969,MA,25,5,63,1,9,1,12,11478
240,1969,MA,25,5,63,1,9,1,13,9263
241,1969,MA,25,5,63,1,9,1,14,7340
242,1969,MA,25,5,63,1,9,1,15,5618
243,1969,MA,25,5,63,1,9,1,16,3639
244,1969,MA,25,5,63,1,9,1,17,2049
245,1969,MA,25,5,63,1,9,1,18,1007
246,1969,MA,25,5,63,1,9,2,0,3478
247,1969,MA,25,5,63,1,9,2,1,14362
248,1969,MA,25,5,63,1,9,2,2,20215
249,1969,MA,25,5,63,1,9,2,3,20225
250,1969,MA,25,5,63,1,9,2,4,18919
251,1969,MA,25,5,63,1,9,2,5,16464
252,1969,MA,25,5,63,1,9,2,6,13572
253,1969,MA,25,5,63,1,9,2,7,10646
254,1969,MA,25,5,63,1,9,2,8,11357
255,1969,MA,25,5,63,1,9,2,9,13983
256,1969,MA,25,5,63,1,9,2,10,15330
257,1969,MA,25,5,63,1,9,2,11,14640
258,1969,MA,25,5,63,1,9,2,12,13023
259,1969,MA,25,5,63,1,9,2,13,11084
260,1969,MA,25,5,63,1,9,2,14,9970
261,1969,MA,25,5,63,1,9,2,15,8728
262,1969,MA,25,5,63,1,9,2,16,6145
263,1969,MA,25,5,63,1,9,2,17,3819
264,1969,MA,25,5,63,1,9,2,18,2333
265,1969,MA,25,5,63,2,9,1,0,45
266,1969,MA,25,5,63,2,9,1,1,241
267,1969,MA,25,5,63,2,9,1,2,305
268,1969,MA,25,5,63,2,9,1,3,320
269,1969,MA,25,5,63,2,9,1,4,251
270,1969,MA,25,5,63,2,9,1,5,187
271,1969,MA,25,5,63,2,9,1,6,144
272,1969,MA,25,5,63,2,9,1,7,103
273,1969,MA,25,5,63,2,9,1,8,126
274,1969,MA,25,5,63,2,9,1,9,143
275,1969,MA,25,5,63,2,9,1,10,112
276,1969,MA,25,5,63,2,9,1,11,125
277,1969,MA,25,5,63,2,9,1,12,68
278,1969,MA,25,5,63,2,9,1,13,56
279,1969,MA,25,5,63,2,9,1,14,52
280,1969,MA,25,5,63,2,9,1,15,54
281,1969,MA,25,5,63,2,9,1,16,46
282,1969,MA,25,5,63,2,9,1,17,20
283,1969,MA,25,5,63,2,9,1,18,22
284,1969,MA,25,5,63,2,9,2,0,50
285,1969,MA,25,5,63,2,9,2,1,221
286,1969,MA,25,5,63,2,9,2,2,347
287,1969,MA,25,5,63,2,9,2,3,335
288,1969,MA,25,5,63,2,9,2,4,207
289,1969,MA,25,5,63,2,9,2,5,195
290,1969,MA,25,5,63,2,9,2,6,167
291,1969,MA,25,5,63,2,9,2,7,154
292,1969,MA,25,5,63,2,9,2,8,119
293,1969,MA,25,5,63,2,9,2,9,165
294,1969,MA,25,5,63,2,9,2,10,154
295,1969,MA,25,5,63,2,9,2,11,90
296,1969,MA,25,5,63,2,9,2,12,79
297,1969,MA,25,5,63,2,9,2,13,64
298,1969,MA,25,5,63,2,9,2,14,63
299,1969,MA,25,5,63,2,9,2,15,46
300,1969,MA,25,5,63,2,9,2,16,39
301,1969,MA,25,5,63,2,9,2,17,40
302,1969,MA,25,5,63,2,9,2,18,21
303,1969,MA,25,5,63,3,9,1,0,27
304,1969,MA,25,5,63,3,9,1,1,65
305,1969,MA,25,5,63,3,9,1,2,70
306,1969,MA,25,5,63,3,9,1,3,71
307,1969,MA,25,5,63,3,9,1,4,59
308,1969,MA,25,5,63,3,9,1,5,53
309,1969,MA,25,5,63,3,9,1,6,59
310,1969,MA,25,5,63,3,9,1,7,59
311,1969,MA,25,5,63,3,9,1,8,54
312,1969,MA,25,5,63,3,9,1,9,46
313,1969,MA,25,5,63,3,9,1,10,44
314,1969,MA,25,5,63,3,9,1,11,28
315,1969,MA,25,5,63,3,9,1,12,25
316,1969,MA,25,5,63,3,9,1,13,37
317,1969,MA,25,5,63,3,9,1,14,17
318,1969,MA,25,5,63,3,9,1,15,22
319,1969,MA,25,5,63,3,9,1,16,15
320,1969,MA,25,5,63,3,9,1,17,5
321,1969,MA,25,5,63,3,9,1,18,7
322,1969,MA,25,5,63,3,9,2,0,12
323,1969,MA,25,5,63,3,9,2,1,62
324,1969,MA,25,5,63,3,9,2,2,61
325,1969,MA,25,5,63,3,9,2,3,79
326,1969,MA,25,5,63,3,9,2,4,45
327,1969,MA,25,5,63,3,9,2,5,50
328,1969,MA,25,5,63,3,9,2,6,72
329,1969,MA,25,5,63,3,9,2,7,57
330,1969,MA,25,5,63,3,9,2,8,53
331,1969,MA,25,5,63,3,9,2,9,56
332,1969,MA,25,5,63,3,9,2,10,42
333,1969,MA,25,5,63,3,9,2,11,28
334,1969,MA,25,5,63,3,9,2,12,21
335,1969,MA,25,5,63,3,9,2,13,32
336,1969,MA,25,5,63,3,9,2,14,21
337,1969,MA,25,5,63,3,9,2,15,18
338,1969,MA,25,5,63,3,9,2,16,17
339,1969,MA,25,5,63,3,9,2,17,10
340,1969,MA,25,5,63,3,9,2,18,6
341,1969,MA,25,7,63,1,9,1,0,39
342,1969,MA,25,7,63,1,9,1,1,148
343,1969,MA,25,7,63,1,9,1,2,251
344,1969,MA,25,7,63,1,9,1,3,249
345,1969,MA,25,7,63,1,9,1,4,227
346,1969,MA,25,7,63,1,9,1,5,130
347,1969,MA,25,7,63,1,9,1,6,162
348,1969,MA,25,7,63,1,9,1,7,99
349,1969,MA,25,7,63,1,9,1,8,141
350,1969,MA,25,7,63,1,9,1,9,133
351,1969,MA,25,7,63,1,9,1,10,170
352,1969,MA,25,7,63,1,9,1,11,160
353,1969,MA,25,7,63,1,9,1,12,157
354,1969,MA,25,7,63,1,9,1,13,154
355,1969,MA,25,7,63,1,9,1,14,153
356,1969,MA,25,7,63,1,9,1,15,96
357,1969,MA,25,7,63,1,9,1,16,73
358,1969,MA,25,7,63,1,9,1,17,43
359,1969,MA,25,7,63,1,9,1,18,22
360,1969,MA,25,7,63,1,9,2,0,38
361,1969,MA,25,7,63,1,9,2,1,132
362,1969,MA,25,7,63,1,9,2,2,219
363,1969,MA,25,7,63,1,9,2,3,252
364,1969,MA,25,7,63,1,9,2,4,205
365,1969,MA,25,7,63,1,9,2,5,137
366,1969,MA,25,7,63,1,9,2,6,146
367,1969,MA,25,7,63,1,9,2,7,114
368,1969,MA,25,7,63,1,9,2,8,136
369,1969,MA,25,7,63,1,9,2,9,181
370,1969,MA,25,7,63,1,9,2,10,169
371,1969,MA,25,7,63,1,9,2,11,207
372,1969,MA,25,7,63,1,9,2,12,196
373,1969,MA,25,7,63,1,9,2,13,205
374,1969,MA,25,7,63,1,9,2,14,211
375,1969,MA,25,7,63,1,9,2,15,140
376,1969,MA,25,7,63,1,9,2,16,118
377,1969,MA,25,7,63,1,9,2,17,94
378,1969,MA,25,7,63,1,9,2,18,66
379,1969,MA,25,7,63,2,9,1,0,1
380,1969,MA,25,7,63,2,9,1,1,10
381,1969,MA,25,7,63,2,9,1,2,9
382,1969,MA,25,7,63,2,9,1,3,15
383,1969,MA,25,7,63,2,9,1,4,13
384,1969,MA,25,7,63,2,9,1,6,3
385,1969,MA,25,7,63,2,9,1,7,4
386,1969,MA,25,7,63,2,9,1,8,5
387,1969,MA,25,7,63,2,9,1,9,7
388,1969,MA,25,7,63,2,9,1,10,4
389,1969,MA,25,7,63,2,9,1,11,5
390,1969,MA,25,7,63,2,9,1,13,8
391,1969,MA,25,7,63,2,9,1,14,7
392,1969,MA,25,7,63,2,9,1,15,5
393,1969,MA,25,7,63,2,9,1,16,3
394,1969,MA,25,7,63,2,9,1,17,3
395,1969,MA,25,7,63,2,9,1,18,1
396,1969,MA,25,7,63,2,9,2,1,5
397,1969,MA,25,7,63,2,9,2,2,2
398,1969,MA,25,7,63,2,9,2,3,16
399,1969,MA,25,7,63,2,9,2,4,6
400,1969,MA,25,7,63,2,9,2,5,2
401,1969,MA,25,7,63,2,9,2,6,3
402,1969,MA,25,7,63,2,9,2,7,2
403,1969,MA,25,7,63,2,9,2,8,4
404,1969,MA,25,7,63,2,9,2,9,5
405,1969,MA,25,7,63,2,9,2,10,8
406,1969,MA,25,7,63,2,9,2,11,4
407,1969,MA,25,7,63,2,9,2,12,6
408,1969,MA,25,7,63,2,9,2,13,8
409,1969,MA,25,7,63,2,9,2,14,8
410,1969,MA,25,7,63,2,9,2,15,9
411,1969,MA,25,7,63,2,9,2,16,5
412,1969,MA,25,7,63,2,9,2,18,1
413,1969,MA,25,7,63,3,9,1,2,13
414,1969,MA,25,7,63,3,9,1,3,12
415,1969,MA,25,7,63,3,9,1,4,6
416,1969,MA,25,7,63,3,9,1,5,2
417,1969,MA,25,7,63,3,9,1,6,10
418,1969,MA,25,7,63,3,9,1,7,2
419,1969,MA,25,7,63,3,9,1,8,3
420,1969,MA,25,7,63,3,9,1,9,7
421,1969,MA,25,7,63,3,9,1,10,4
422,1969,MA,25,7,63,3,9,1,11,3
423,1969,MA,25,7,63,3,9,1,13,9
424,1969,MA,25,7,63,3,9,1,14,5
425,1969,MA,25,7,63,3,9,1,15,4
426,1969,MA,25,7,63,3,9,1,16,5
427,1969,MA,25,7,63,3,9,1,17,1
428,1969,MA,25,7,63,3,9,1,18,1
429,1969,MA,25,7,63,3,9,2,1,3
430,1969,MA,25,7,63,3,9,2,2,4
431,1969,MA,25,7,63,3,9,2,3,7
432,1969,MA,25,7,63,3,9,2,4,12
433,1969,MA,25,7,63,3,9,2,5,5
434,1969,MA,25,7,63,3,9,2,6,2
435,1969,MA,25,7,63,3,9,2,7,1
436,1969,MA,25,7,63,3,9,2,8,2
437,1969,MA,25,7,63,3,9,2,9,7
438,1969,MA,25,7,63,3,9,2,10,6
439,1969,MA,25,7,63,3,9,2,11,4
440,1969,MA,25,7,63,3,9,2,12,9
441,1969,MA,25,7,63,3,9,2,13,2
442,1969,MA,25,7,63,3,9,2,14,3
443,1969,MA,25,7,63,3,9,2,15,7
444,1969,MA,25,7,63,3,9,2,16,3
445,1969,MA,25,7,63,3,9,2,18,4
446,1969,MA,25,9,63,1,9,1,0,5156
447,1969,MA,25,9,63,1,9,1,1,21490
448,1969,MA,25,9,63,1,9,1,2,32232
449,1969,MA,25,9,63,1,9,1,3,31749
450,1969,MA,25,9,63,1,9,1,4,26101
451,1969,MA,25,9,63,1,9,1,5,18379
452,1969,MA,25,9,63,1,9,1,6,18539
453,1969,MA,25,9,63,1,9,1,7,15123
454,1969,MA,25,9,63,1,9,1,8,16579
455,1969,MA,25,9,63,1,9,1,9,18593
456,1969,MA,25,9,63,1,9,1,10,19063
457,1969,MA,25,9,63,1,9,1,11,18291
458,1969,MA,25,9,63,1,9,1,12,15825
459,1969,MA,25,9,63,1,9,1,13,12749
460,1969,MA,25,9,63,1,9,1,14,9608
461,1969,MA,25,9,63,1,9,1,15,7988
462,1969,MA,25,9,63,1,9,1,16,5698
463,1969,MA,25,9,63,1,9,1,17,3288
464,1969,MA,25,9,63,1,9,1,18,1892
465,1969,MA,25,9,63,1,9,2,0,4926
466,1969,MA,25,9,63,1,9,2,1,20256
467,1969,MA,25,9,63,1,9,2,2,31311
468,1969,MA,25,9,63,1,9,2,3,30116
469,1969,MA,25,9,63,1,9,2,4,27280
470,1969,MA,25,9,63,1,9,2,5,22537
471,1969,MA,25,9,63,1,9,2,6,19456
472,1969,MA,25,9,63,1,9,2,7,15856
473,1969,MA,25,9,63,1,9,2,8,17237
474,1969,MA,25,9,63,1,9,2,9,20128
475,1969,MA,25,9,63,1,9,2,10,20720
476,1969,MA,25,9,63,1,9,2,11,20134
477,1969,MA,25,9,63,1,9,2,12,17666
478,1969,MA,25,9,63,1,9,2,13,15748
479,1969,MA,25,9,63,1,9,2,14,13380
480,1969,MA,25,9,63,1,9,2,15,12930
481,1969,MA,25,9,63,1,9,2,16,9586
482,1969,MA,25,9,63,1,9,2,17,6089
483,1969,MA,25,9,63,1,9,2,18,3859
484,1969,MA,25,9,63,2,9,1,0,55
485,1969,MA,25,9,63,2,9,1,1,262
486,1969,MA,25,9,63,2,9,1,2,311
487,1969,MA,25,9,63,2,9,1,3,256
488,1969,MA,25,9,63,2,9,1,4,214
489,1969,MA,25,9,63,2,9,1,5,146
490,1969,MA,25,9,63,2,9,1,6,151
491,1969,MA,25,9,63,2,9,1,7,129
492,1969,MA,25,9,63,2,9,1,8,119
493,1969,MA,25,9,63,2,9,1,9,104
494,1969,MA,25,9,63,2,9,1,10,74
495,1969,MA,25,9,63,2,9,1,11,82
496,1969,MA,25,9,63,2,9,1,12,37
497,1969,MA,25,9,63,2,9,1,13,40
498,1969,MA,25,9,63,2,9,1,14,30
499,1969,MA,25,9,63,2,9,1,15,26
500,1969,MA,25,9,63,2,9,1,16,19
501,1969,MA,25,9,63,2,9,1,17,13
502,1969,MA,25,9,63,2,9,1,18,13
503,1969,MA,25,9,63,2,9,2,0,63
504,1969,MA,25,9,63,2,9,2,1,254
505,1969,MA,25,9,63,2,9,2,2,316
506,1969,MA,25,9,63,2,9,2,3,245
507,1969,MA,25,9,63,2,9,2,4,203
508,1969,MA,25,9,63,2,9,2,5,211
509,1969,MA,25,9,63,2,9,2,6,171
510,1969,MA,25,9,63,2,9,2,7,153
511,1969,MA,25,9,63,2,9,2,8,116
512,1969,MA,25,9,63,2,9,2,9,117
513,1969,MA,25,9,63,2,9,2,10,105
514,1969,MA,25,9,63,2,9,2,11,84
515,1969,MA,25,9,63,2,9,2,12,67
516,1969,MA,25,9,63,2,9,2,13,48
517,1969,MA,25,9,63,2,9,2,14,58
518,1969,MA,25,9,63,2,9,2,15,40
519,1969,MA,25,9,63,2,9,2,16,21
520,1969,MA,25,9,63,2,9,2,17,20
521,1969,MA,25,9,63,2,9,2,18,16
522,1969,MA,25,9,63,3,9,1,0,19
523,1969,MA,25,9,63,3,9,1,1,73
524,1969,MA,25,9,63,3,9,1,2,72
525,1969,MA,25,9,63,3,9,1,3,48
526,1969,MA,25,9,63,3,9,1,4,64
527,1969,MA,25,9,63,3,9,1,5,42
528,1969,MA,25,9,63,3,9,1,6,51
529,1969,MA,25,9,63,3,9,1,7,62
530,1969,MA,25,9,63,3,9,1,8,56
531,1969,MA,25,9,63,3,9,1,9,34
532,1969,MA,25,9,63,3,9,1,10,38
533,1969,MA,25,9,63,3,9,1,11,30
534,1969,MA,25,9,63,3,9,1,12,22
535,1969,MA,25,9,63,3,9,1,13,30
536,1969,MA,25,9,63,3,9,1,14,20
537,1969,MA,25,9,63,3,9,1,15,14
538,1969,MA,25,9,63,3,9,1,16,16
539,1969,MA,25,9,63,3,9,1,17,22
540,1969,MA,25,9,63,3,9,1,18,12
541,1969,MA,25,9,63,3,9,2,0,29
542,1969,MA,25,9,63,3,9,2,1,59
543,1969,MA,25,9,63,3,9,2,2,68
544,1969,MA,25,9,63,3,9,2,3,54
545,1969,MA,25,9,63,3,9,2,4,54
546,1969,MA,25,9,63,3,9,2,5,88
547,1969,MA,25,9,63,3,9,2,6,68
548,1969,MA,25,9,63,3,9,2,7,65
549,1969,MA,25,9,63,3,9,2,8,64
550,1969,MA,25,9,63,3,9,2,9,54
551,1969,MA,25,9,63,3,9,2,10,33
552,1969,MA,25,9,63,3,9,2,11,34
553,1969,MA,25,9,63,3,9,2,12,38
554,1969,MA,25,9,63,3,9,2,13,33
555,1969,MA,25,9,63,3,9,2,14,30
556,1969,MA,25,9,63,3,9,2,15,30
557,1969,MA,25,9,63,3,9,2,16,18
558,1969,MA,25,9,63,3,9,2,17,23
559,1969,MA,25,9,63,3,9,2,18,9
